UGL	Antarctica/South_Pole	Union Glacier Blue-Ice Runway
MQE	Australia/Darwin	Marqua
MTD	Australia/Darwin	Mt Sandford
MIY	Australia/Darwin	Mittiebah
MUQ	Australia/Perth	Muccan
MNE	Australia/Adelaide	Mungeranie
MVK	Australia/Adelaide	Mulka
MUP	Australia/Darwin	Mulga Park
MKV	Australia/Darwin	Mt Cavenagh
MWT	Australia/Adelaide	Moolawatana
MXD	Australia/Brisbane	Marion Downs
RRE	Australia/Adelaide	Marree
WME	Australia/Perth	Mount Keith
YOI	America/Montreal	Opinaca
RPM	Australia/Darwin	Ngukurr
PXH	Australia/Adelaide	Prominent Hill
NAA	Australia/Sydney	Narrabri
ABM	Australia/Brisbane	Northern Peninsula Airport
MOO	Australia/Adelaide	Moomba
KNX	Australia/Perth	Kununurra Airport
UTD	Australia/Darwin	Nutwood Downs
EDR	Australia/Brisbane	Edward River
GOV	Australia/Darwin	Nhulunbuy Airport
NLS	Australia/Perth	Nicholson
NMP	Australia/Brisbane	New Moon
NPP	Australia/Darwin	Napperby
NSM	Australia/Perth	Norseman
LEA	Australia/Perth	Learmonth Airport
NUR	Australia/Adelaide	Nullarbor
NLL	Australia/Perth	Nullagine
NTN	Australia/Brisbane	Normanton Airport
NUB	Australia/Darwin	Numbulwar
ODD	Australia/Adelaide	Oodnadatta
OLP	Australia/Adelaide	Olympic Dam Airport
OSO	Australia/Brisbane	Osborne Mine
KTR	Australia/Darwin	Tindal
ODR	Australia/Perth	Ord River
PBO	Australia/Perth	Paraburdoo Airport
PKT	Australia/Darwin	Port Keats
PQQ	Australia/Sydney	Port Macquarie Airport
PHE	Australia/Perth	Port Hedland International Airport
PDN	Australia/Adelaide	Parndana
PDE	Australia/Adelaide	Pandie Pandie
PRD	Australia/Perth	Pardoo
OYN	Australia/Melbourne	Ouyen
PEA	Australia/Adelaide	Penneshaw
YQJ	America/Vancouver	April Point SPB
ULP	Australia/Brisbane	Quilpie
TDR	Australia/Brisbane	Theodore
CDU	Australia/Sydney	Camden
TQP	Australia/Brisbane	Trepell Airport
NDS	Australia/Perth	Sandstone
MJK	Australia/Perth	Shark Bay
RMA	Australia/Brisbane	Roma Airport
RCM	Australia/Brisbane	Richmond
ROH	Australia/Brisbane	Robinhood
SBR	Australia/Brisbane	Saibai Island
RPB	Australia/Darwin	Roper Bar
RTP	Australia/Brisbane	Rutland Plains
RHL	Australia/Perth	Roy Hill
RSB	Australia/Brisbane	Roseberth
SHU	Australia/Darwin	Smith Point
SGP	Australia/Perth	Shay Gap
SCG	Australia/Brisbane	Spring Creek
STH	Australia/Brisbane	Strathmore
SRN	Australia/Hobart	Strahan
KSV	Australia/Brisbane	Springvale
SYD	Australia/Sydney	Sydney (Kingsford Smith) Airport
SQC	Australia/Perth	Southern Cross
STF	Australia/Brisbane	Stephen Island
SSP	Australia/Brisbane	Silver Plains
TBL	Australia/Perth	Tableland
TBK	Australia/Darwin	Timber Creek
CZY	Australia/Brisbane	Cluny
GTS	Australia/Darwin	Granites
MFL	Australia/Brisbane	Mount Full Stop
PHQ	Australia/Brisbane	The Monument Airport
TKY	Australia/Perth	Turkey Creek
TYB	Australia/Sydney	Tibooburra
OKR	Australia/Brisbane	Yorke Island
SYU	Australia/Brisbane	Warraber Island
TXR	Australia/Brisbane	Tanbar
TTX	Australia/Perth	Mungalalu Truscott Airbase
WNR	Australia/Brisbane	Windorah
THG	Australia/Brisbane	Thangool
KYF	Australia/Perth	Yeelirrie
VNR	Australia/Brisbane	Vanrook
WON	Australia/Brisbane	Wondoola
WAV	Australia/Darwin	Kalkgurung
WND	Australia/Perth	Windarra
WUN	Australia/Perth	Wiluna
WLO	Australia/Darwin	Waterloo
WIT	Australia/Perth	Wittenoom
WLA	Australia/Perth	Wallal
TEF	Australia/Perth	Telfer Airport
TDN	Australia/Perth	Theda Station
TYG	Australia/Brisbane	Thylungra
TYP	Australia/Darwin	Tobermorey
WWI	Australia/Perth	Woodie Woodie
PEK	Asia/Shanghai	Beijing Capital International Airport
ORR	Australia/Adelaide	Yorketown
BHY	Asia/Chongqing	Beihai Fucheng Airport
KKI	America/Anchorage	Spb
SJW	Asia/Shanghai	Shijiazhuang Daguocun Airport
BPE	Asia/Shanghai	Qinhuangdao Beidaihe Airport
KBC	America/Anchorage	Birch Creek
TDT	Africa/Johannesburg	Tanda Tula
CAN	Asia/Shanghai	Guangzhou Baiyun International Airport
KHO	Africa/Johannesburg	Khoka Moya
TSN	Asia/Shanghai	Tianjin Binhai International Airport
ZDY	Asia/Dubai	Delma Island Airport
KYI	Australia/Adelaide	Yalata Mission
KBW	America/Anchorage	Chignik Bay
CIF	Asia/Shanghai	Chifeng Airport
CSX	Asia/Shanghai	Changsha Huanghua Airport
CZC	America/Anchorage	Copper Centre
CZP	America/Sitka	Cape Pole
DYG	Asia/Shanghai	Zhangjiajie Hehua Airport
HZV	Africa/Johannesburg	Hazyview
INY	Africa/Johannesburg	Inyati
JBT	America/Anchorage	City Landing
LYA	Asia/Shanghai	Luoyang Beijiao Airport
NNG	Asia/Shanghai	Nanning Airport
SYX	Asia/Shanghai	Sanya Phoenix International Airport
ZHY	Asia/Shanghai	Zhongwei Airport
NNY	Asia/Shanghai	Nanyang Airport
BAR	America/Sitka	Baker AAF
CGO	Asia/Shanghai	Zhengzhou Xinzheng Airport
COQ	Asia/Choibalsan	Choibalsan
SIA	Asia/Shanghai	Xi'an Xiguan Airport
DNH	Asia/Shanghai	Dunhuang Airport
HAK	Asia/Shanghai	Haikou Airport
SWA	Asia/Shanghai	Jieyang Chaoshan Airport
WUH	Asia/Shanghai	Wuhan Tianhe International Airport
WOS	Asia/Pyongyang	Wonsan
LHW	Asia/Shanghai	Lanzhou Zhongchuan International Airport
LUM	Asia/Shanghai	Dehong Mangshi Airport
TAO	Asia/Shanghai	Qingdao Liuting International Airport
ULN	Asia/Ulaanbaatar	Chinggis Khaan International Airport
FOC	Asia/Shanghai	Changle International Airport
HFE	Asia/Shanghai	Hefei Xinqiao Airport
HGH	Asia/Shanghai	Hangzhou Xiaoshan International Airport
ZNU	America/Vancouver	Namu
HJT	Asia/Ulaanbaatar	Khujirt
JIU	Asia/Shanghai	Jiujiang
URC	Asia/Shanghai	Urumqi Diwopu International Airport
IQM	Asia/Shanghai	Qiemo Airport
KGT	Asia/Shanghai	Kangding Airport
NGQ	Asia/Shanghai	Ngari Gunsa/Ali Kunsha
KRY	Asia/Shanghai	Karamay Airport
YUS	Asia/Shanghai	Yushu Batang Airport
YNJ	Asia/Shanghai	Yanji Chaoyangchuan Airport
MCC	America/Los_Angeles	Mcclellan AFB
MCD	America/Detroit	Mackinac Island
MCI	America/Chicago	Kansas City International Airport
MCO	America/New_York	Orlando International Airport
MCA	Africa/Conakry	Macenta
JSJ	Asia/Shanghai	Jiansanjiang Shidi Airport
LDS	Asia/Shanghai	Yichun Shi Airport
MCB	America/Chicago	Pike County
MCQ	Europe/Budapest	Miskolc
MCH	America/Guayaquil	Machala
JNZ	Asia/Shanghai	Liaoning Province Airport
JXA	Asia/Shanghai	Jixi Airport
DLC	Asia/Shanghai	Dalian Zhoushuizi International Airport
FYJ	Asia/Shanghai	Fuyuan Dongji Airport
HEK	Asia/Shanghai	Heihe Airport
HRB	Asia/Shanghai	Harbin Taiping International Airport
JIL	Asia/Shanghai	Jilin
JMU	Asia/Shanghai	Jiamusi Airport
MCK	America/Chicago	Mc Cook Airport
MCM	Europe/Monaco	Fontvieille Heliport
MCR	America/Guatemala	Melchor De Menco
MCU	Europe/Paris	Gueret (Lepaud)
MCW	America/Chicago	Mason City Airport
MFU	Africa/Lusaka	Mfuwe
MFX	Europe/Paris	Meribel
MFY	Asia/Aden	Mayfa'ah
MGA	America/Managua	Augusto C Sandino International Airport
MGB	Australia/Adelaide	Mount Gambier Airport
MGC	America/Chicago	Michigan City Airport
MGF	America/Sao_Paulo	Regional De Maringa
MGH	Africa/Johannesburg	Margate Airport
MGI	America/Chicago	Aransas National Wildlife Refuge
MGJ	America/New_York	Orange County
MFV	America/New_York	Accomack County
MGL	Europe/Berlin	Moenchen-gl. - Dus Exp
MHN	America/Denver	Mullen
MGN	America/Bogota	Baracoa
MGO	Africa/Libreville	Manega
MGU	Asia/Rangoon	Manaung
MGW	America/New_York	Morgantown Airport
MGY	America/New_York	Dayton-Wright Brothers Airport
MHE	America/Chicago	Municipal
MHI	Africa/Djibouti	Musha
MHL	America/Chicago	Memorial Municipal
MHP	Europe/Minsk	Minsk International 1
MHS	America/Los_Angeles	Rep
MIU	Africa/Lagos	Maiduguri
MHU	Australia/Melbourne	Mount Hotham
MHV	America/Los_Angeles	Kern County
MIV	America/New_York	Millville
MHZ	Europe/London	Mildenhall Airport
MJP	Australia/Perth	Manjimup
MIE	America/Indiana/Indianapolis	Delaware County
MOH	Asia/Makassar	Maleo Airport
MIF	America/Chicago	Roy Hurd Memorial
MIG	Asia/Shanghai	Mianyang Nanjiao Airport
MII	America/Sao_Paulo	Dr Gastao Vidigal Airport
MIJ	Pacific/Majuro	Mili Island
MIO	America/Chicago	Miami
MJS	Africa/Maputo	Maganja Da Costa
MJT	Europe/Athens	Mytilene International Airport
MJU	Asia/Makassar	Tampa Padang Airport
MJV	Europe/Madrid	Murcia-San Javier Airport
MJW	Africa/Harare	Mahenye
MJX	America/New_York	Robert J. Miller
MJY	Asia/Jakarta	Mangunjaya
MJZ	Asia/Yakutsk	Mirnyj Airport
MKA	Europe/Prague	Marianske Lazne
MKC	America/Chicago	Charles B. Wheeler Downtown Airport
MKE	America/Chicago	General Mitchell International Airport
MKF	America/New_York	Mckenna AAF
MKG	America/Detroit	Muskegon Airport
MKI	Africa/Bangui	Mboki
MKJ	Africa/Brazzaville	Makoua
MKK	Pacific/Honolulu	Molokai Airport
MKU	Africa/Libreville	Makokou
MLA	Europe/Malta	Malta International Airport
MKS	Africa/Addis_Ababa	Mekane Selam
MKT	America/Chicago	Municipal
MLB	America/New_York	Orlando Melbourne International Airport
MLD	America/Boise	Malad City
MLT	America/New_York	Millinocket
MLW	Africa/Monrovia	Sprigg Payne
MLX	Europe/Istanbul	Malatya Airport
MMA	Europe/Stockholm	Malmö Bulltofta Airport
MMC	America/Monterrey	Ciudad Mante
MLZ	America/Montevideo	Cerro Largo
MMB	Asia/Tokyo	Memanbetsu Airport
MMN	America/New_York	Minute Man Airfield
MNH	Asia/Colombo	Minneriya
MMI	America/New_York	McMinn County
MMJ	Asia/Tokyo	Matsumoto Airport
MMS	America/Chicago	Selfs
MML	America/Chicago	Municipal-Ryan Field
MMZ	Asia/Kabul	Maimana
MMO	Atlantic/Cape_Verde	Vila Do Maio
MNK	Pacific/Tarawa	Maiana
MNU	Asia/Rangoon	Maulmyine
MOF	Asia/Makassar	Wai Oti Airport
MNZ	America/New_York	Manassas Regional Airport/Harry P. Davis Field
MOA	America/Havana	Orestes Acosta
MOG	Asia/Rangoon	Mong Hsat
MOD	America/Los_Angeles	Modesto Municipal Airport
NDE	Africa/Nairobi	Mandera
MOJ	America/Paramaribo	Moengo
MOM	Africa/Nouakchott	Moudjeria
MOP	America/Detroit	Municipal
MOR	America/New_York	Moore-Murrell
MOX	America/Chicago	Municipal
MOY	America/Bogota	Monterrey
MOZ	Pacific/Tahiti	Temae Airport
MPC	Asia/Jakarta	Muko-Muko
MPD	Asia/Karachi	Mirpur Khas
MPI	America/Panama	Mamitupo
MPV	America/New_York	Edward F Knapp State
MPW	Europe/Kiev	Mariupol
MPZ	America/Chicago	Municipal
MQA	Australia/Perth	Mandora
MQB	America/Chicago	Municipal
MQC	America/Miquelon	Miquelon Airport
MQF	Asia/Yekaterinburg	Magnitogorsk Airport
MQG	Africa/Windhoek	Midgard
MQH	America/Sao_Paulo	Municipal
MQI	America/New_York	Quincy
MQL	Australia/Melbourne	Mildura Airport
MQM	Europe/Istanbul	Mardin Airport
MQN	Europe/Oslo	Mo i Rana Airport
MQP	Africa/Johannesburg	Kruger Mpumalanga International Airport
MQD	America/Argentina/Salta	Maquinchao
MQR	America/Bogota	Mosquera
MRS	Europe/Paris	Marseille Provence Airport
MRU	Indian/Mauritius	Sir Seewoosagur Ramgoolam International Airport
MRV	Europe/Moscow	Mineralnye Vody Airport
MRW	Europe/Copenhagen	Maribo
MRY	America/Los_Angeles	Monterey Regional Airport
MRZ	Australia/Sydney	Moree Airport
MSC	America/Phoenix	Falcon Field
MSD	America/Denver	Mt Pleasant
MTK	Pacific/Tarawa	Makin Island
MSE	Europe/London	Kent International
MSH	Asia/Muscat	Masirah
MSI	Asia/Jakarta	Masalembo
MSJ	Asia/Tokyo	Misawa
MSL	America/Chicago	Northwest Alabama Regional Airport
MSM	Africa/Kinshasa	Masi Manimba
MSN	America/Chicago	Dane County Regional Airport
MRX	Asia/Tehran	Mahshahr Airport
MSX	Africa/Brazzaville	Mossendjo
MUH	Africa/Cairo	Mersa Matruh
MVE	America/Chicago	Montevideo-Chippewa
MTS	Africa/Mbabane	Matsapha International
MTT	America/Mexico_City	Minatitlan Airport
MTU	Africa/Maputo	Montepuez
MTW	America/Chicago	Municipal
MTX	America/Anchorage	Metro Field
MTY	America/Monterrey	Gen Mariano Escobedo Airport
MTZ	Asia/Jerusalem	Masada
MUC	Europe/Berlin	Franz Josef Strauss Airport
MUD	Africa/Maputo	Mueda
MVR	Africa/Douala	Salam
MVS	America/Bahia	Aeroporto Max Feffer
MVU	Australia/Brisbane	Musgrave
MVX	Africa/Libreville	Minvoul
MVW	America/Los_Angeles	Skagit Regional
MWD	Asia/Karachi	Mianwali
MXF	America/Chicago	Maxwell AFB
MXR	Europe/Kiev	Mirgorod
MWH	America/Los_Angeles	Grant County
MWJ	America/Guyana	Matthews Ridge
MWN	Africa/Dar_es_Salaam	Mwadui
MWQ	Asia/Rangoon	Magwe
MWS	America/Los_Angeles	Mount Wilson
MWV	Asia/Phnom_Penh	Mundulkiri
MXS	Pacific/Apia	Maota Savaii Island
MXU	Australia/Perth	Mullewa
MXV	Asia/Ulaanbaatar	Moron
MXX	Europe/Stockholm	Mora Airport
MXZ	Asia/Shanghai	Mei Xian Airport
MXW	Asia/Ulaanbaatar	Mandalgobi
MYB	Africa/Libreville	Mayoumba
MYC	America/Caracas	Maracay
MYE	Asia/Tokyo	Miyake Jima
MYL	America/Boise	Mccall
MYP	Asia/Ashgabat	Mary Airport
MYQ	Asia/Kolkata	Mysore
MYT	Asia/Rangoon	Myitkyina Airport
MYZ	Africa/Blantyre	Monkey Bay
MZA	America/Lima	Mayor Pnp Nancy Flore Airport
MZC	Africa/Libreville	Mitzic
MZW	Africa/Algiers	Mechria
MZU	Asia/Kolkata	Muzaffarpur
MZX	Africa/Addis_Ababa	Mena
MZZ	America/Indiana/Indianapolis	Marion
NAB	America/New_York	Albany NAS
NAC	Australia/Adelaide	Naracoorte
MZY	Africa/Johannesburg	Mossel Bay
NAX	Pacific/Honolulu	Kalaeloa John Rodgers Field
NAF	Asia/Makassar	Banaina
NBH	Australia/Sydney	Nambucca Heads
NAH	Asia/Makassar	Naha
NAK	Asia/Bangkok	Nakhon Ratchasima
NAL	Europe/Moscow	Nalchik Airport
NAM	Asia/Jayapura	Namlea
NAO	Asia/Shanghai	Nanchong Airport
NDL	Africa/Bangui	Ndele
NEG	America/Jamaica	Negril
NCO	America/New_York	NAS
NCQ	America/New_York	Atlanta NAS
NCR	America/Managua	San Carlos
NCS	Africa/Johannesburg	Newcastle
NCY	Europe/Paris	Annecy-Meythe
NDF	Africa/Luanda	Ndalatandos
NDG	Asia/Shanghai	Qiqihar Airport
NDK	Pacific/Majuro	Namdrik Island
NFR	Africa/Tripoli	Nafoora
NGA	Australia/Sydney	Young
NGB	Asia/Shanghai	Ningbo Airport
NGC	America/Phoenix	North Rim
NGE	Africa/Douala	Ngaoundéré
NGF	Pacific/Honolulu	Marine Corps Air Station Kaneohe Bay
NGI	Pacific/Fiji	Ngau Island
NGL	Africa/Johannesburg	Ngala Airfield
NGN	America/Panama	Nargana
NGO	Asia/Tokyo	Chubu Centrair International Airport
NGU	America/New_York	NAS Chambers
NGW	America/Chicago	Cabaniss Field
NGX	Asia/Kathmandu	Manang
NGZ	America/Los_Angeles	NAS
NHD	Asia/Dubai	Minhad AB
NHF	Africa/Khartoum	New Halfa
NHK	America/New_York	Patuxent River NAS
NHS	Asia/Karachi	Nushki
NHX	America/Chicago	Barin Olf Osn
NIA	Africa/Monrovia	Nimba
NKB	Australia/Perth	Noonkanbah
NKY	Africa/Brazzaville	Nkayi
NKD	Asia/Jayapura	Sinak
NMA	Asia/Tashkent	Namangan Airport
NKL	Africa/Kinshasa	Nkolo
NMS	Asia/Rangoon	Namsang
NKO	Indian/Antananarivo	Ankokoambo
NKS	Africa/Douala	Nkongsamba
NKT	Europe/Istanbul	Shirnak
NKX	America/Los_Angeles	Miramar MS
NLA	Africa/Lusaka	Simon Mwansa Kapwepwe International Airport
NLC	America/Los_Angeles	Lemoore NAS (Reeves Field)
NLU	America/Mexico_City	Santa Lucia
NMB	Asia/Kolkata	Daman
NKC	Africa/Nouakchott	Nouakchott International Airport
NMG	America/Panama	San Miguel
NOD	Europe/Berlin	Norden Norddeich Airport
NNM	Europe/Moscow	Naryan-Mar Airport
NNX	Asia/Makassar	Nunukan Airport
NPO	Asia/Makassar	Nangapinoh
NOA	Australia/Sydney	Nowra
NQU	America/Bogota	Nuqui
NOI	Europe/Moscow	Novorossijsk
NOJ	Asia/Yekaterinburg	Nojabrxsk Airport
NOZ	Asia/Novokuznetsk	Novokuznetsk Airport
NPA	America/Chicago	Pensacola NAS
NPE	Pacific/Auckland	Hawkes Bay Airport
NPT	America/New_York	State
NPU	America/Bogota	San Pedro Uraba
NQA	America/Chicago	Millington Regional Jetport
NQI	America/Chicago	NAS
NQL	America/Sao_Paulo	Niquelandia
NQN	America/Argentina/Salta	Presidente Peron International Airport
NRC	America/Los_Angeles	Aux Field
NRD	Europe/Berlin	Norderney
NRG	Australia/Perth	Narrogin
NRI	America/Chicago	Shangri-la
NRE	Asia/Jayapura	Namrole
NRM	Africa/Bamako	Nara
NRR	America/Puerto_Rico	Roosevelt NAS
NRS	America/Los_Angeles	NAS
NSK	Asia/Krasnoyarsk	Noril'sk Airport
NSB	America/Nassau	North SPB
NSP	Asia/Manila	NAF
NZA	Africa/Luanda	Nzagi
NUD	Africa/Khartoum	En Nahud
NUE	Europe/Berlin	Nuremberg Airport
NUF	Asia/Colombo	Castlereigh Reservoir Waterdrome
NUJ	Asia/Tehran	Nojeh
NUM	Asia/Riyadh	Neom Airport
NUN	America/Chicago	Saufley NAS
NUQ	America/Los_Angeles	Moffett Field
NUU	Africa/Nairobi	Nakuru
NUW	America/Los_Angeles	Whidbey Island NAS (Ault Field)
NUX	Asia/Yekaterinburg	Novy Urengoy Airport
NVA	America/Bogota	Benito Salas Airport
NVD	America/Chicago	Nevada
NVG	America/Managua	Nueva Guinea
NVI	Asia/Samarkand	Navoi Airport
NVK	Europe/Oslo	Framnes
NUH	America/Bogota	Nunchia
NVR	Europe/Moscow	Novgorod
NVY	Asia/Kolkata	Neyveli
NZC	America/Lima	Maria Reiche Neuman Airport
NZE	Africa/Conakry	Nzerekore
NZH	Asia/Shanghai	Manzhouli Airport
NZL	Asia/Shanghai	Zhalantun Chengjisihan Airport
NZW	America/New_York	South Weymouth
NZY	America/Los_Angeles	North Island NAS
OAA	Asia/Kabul	Shank Air Base
OAG	Australia/Sydney	Orange Airport
OAH	Asia/Kabul	Shindand Air Base
OAJ	America/New_York	Albert J Ellis Airport
OAK	America/Los_Angeles	Metropolitan Oakland International Airport
OAL	America/Porto_Velho	Cacoal Airport
OAM	Pacific/Auckland	Oamaru
OAN	America/Tegucigalpa	Olanchito
OAR	America/Los_Angeles	Marina Municipal
OAS	Asia/Kabul	Sharana Air Base
OAI	Asia/Kabul	Bagram
OBE	America/New_York	County
OBC	Africa/Djibouti	Obock
ODB	Europe/Madrid	Cordoba
ODC	America/Los_Angeles	Oakdale
ODH	Europe/London	Odiham RAF Station
ODE	Europe/Copenhagen	Beldringe
ODM	America/New_York	Garrett County Airport
ODN	Asia/Kuching	Long Seridan Airport
ODO	Asia/Irkutsk	Bodaybo Airport
ODS	Europe/Kiev	Odessa International Airport
ODW	America/Los_Angeles	Oak Harbor
ODY	Asia/Vientiane	Oudomxay Airport
OEA	America/Indiana/Vincennes	Oneal
OEC	Asia/Dili	Ocussi
OEL	Europe/Moscow	Orel
OEO	America/Chicago	Municipal
OER	Europe/Stockholm	Ornskoldsvik Airport
OES	America/Argentina/Salta	San Antonio Oeste
OGA	America/Denver	Searle Field
OFK	America/Chicago	Stefan Field
OFU	Pacific/Pago_Pago	Airstrip
OKQ	Asia/Jayapura	Okaba
OHT	Asia/Karachi	Kohat
OIC	America/New_York	Eaton
OIL	America/New_York	Splane Memorial
OIR	Asia/Tokyo	Okushiri Airport
OKB	Australia/Brisbane	Fraser Island
OKF	Africa/Windhoek	Okaukuejo
OKG	Africa/Brazzaville	Okoyo
OKH	Europe/London	Cottesmor RAF
OKM	America/Chicago	Okmulgee
OKN	Africa/Libreville	Okondja
OKO	Asia/Tokyo	Yokota AFB
OKS	America/Chicago	Oshkosh
OLU	America/Chicago	Columbus Municipal
OLV	America/Chicago	Olive Branch Airport
OLY	America/Chicago	Olney-Noble
OMJ	Asia/Tokyo	Omura
OMI	Asia/Tehran	Omidieh
OMK	America/Los_Angeles	Municipal
OML	Pacific/Port_Moresby	Omkalai
OMY	Asia/Phnom_Penh	Oddor Meanche
ONA	America/Chicago	Municipal
ONH	America/New_York	Municipal
ONI	Asia/Jayapura	Moanamani
ONL	America/Chicago	Municipal
ONM	America/Denver	Socorro
ONP	America/Los_Angeles	Newport
OLX	Africa/Nairobi	Olkiombo Airport
ONX	America/Panama	Enrique Adolfo Jimenez
ONY	America/Chicago	Olney
OOA	America/Chicago	Municipal
OLZ	Asia/Yakutsk	Olokminsk Airport
OPI	Australia/Darwin	Oenpelli
OPO	Europe/Lisbon	Porto Airport
OPW	Africa/Windhoek	Opuwa
ORA	America/Argentina/Salta	Oran
ORB	Europe/Stockholm	Orebro-Bofors Airport
ORC	America/Bogota	Orocue
ORD	America/Chicago	O'Hare International Airport
ORE	Europe/Paris	Orleans
ORF	America/New_York	Norfolk International Airport
ORG	America/Paramaribo	Zorg En Hoop
ORH	America/New_York	Worcester Regional Airport
ORK	Europe/Dublin	Cork Airport
OPL	America/Chicago	St Landry Parish
ORM	Europe/London	Northampton
ORO	America/Tegucigalpa	Yoro
ORP	Africa/Gaborone	Orapa
ORQ	America/New_York	Heliport
ORW	Asia/Karachi	Ormara
ORY	Europe/Paris	Paris Orly Airport
ORX	America/Santarem	Oriximina
ORZ	America/Belize	Orange Walk
OSC	America/Detroit	Wurtsmith AFB
OSW	Asia/Yekaterinburg	Orsk Airport
OSY	Europe/Oslo	Namsos Airport
OSZ	Europe/Warsaw	Koszalin
OTA	Africa/Addis_Ababa	Mota
OTC	Africa/Ndjamena	Bol
OTD	America/Panama	Contadora
OTG	America/Chicago	Worthington
OTH	America/Los_Angeles	Southwest Oregon Regional Airport
OTI	Asia/Jayapura	Pitu
OTJ	Africa/Windhoek	Otjiwarongo
OTK	America/Los_Angeles	Tillamook
OTL	Africa/Nouakchott	Boutilimit
OTM	America/Chicago	Industrial
OTO	America/Denver	Vor
OTP	Europe/Bucharest	Bucharest Henri Coanda International Airport
OTR	America/Costa_Rica	Coto 47
OTS	America/Los_Angeles	Anacortes
OWE	Africa/Libreville	Owendo
OZI	Europe/Madrid	Bobadilla
OWK	America/New_York	Central Maine Airport of Norridgewock
OXB	Africa/Bissau	Osvaldo Vieira Airport
OXC	America/New_York	Waterbury-oxford
OXD	America/New_York	Miami University
OXF	Europe/London	Oxford (Kidlington)
OXR	America/Los_Angeles	Ventura
OYA	America/Argentina/Cordoba	Goya
OYG	Africa/Kampala	Moyo
OYL	Africa/Nairobi	Moyale
OYO	America/Argentina/Buenos_Aires	Tres Arroyos
OYP	America/Cayenne	St-Georges de lOyapock
PBG	America/New_York	Plattsburgh International Airport
PAZ	America/Mexico_City	El Tajin National Airport
PBB	America/Campo_Grande	Paranaiba
PBC	America/Mexico_City	Huejotsingo Airport
PBH	Asia/Thimphu	Paro Airport
PBE	America/Bogota	Puerto Berrio
PBN	Africa/Luanda	Porto Amboim
PBR	America/Guatemala	Puerto Barrios
PBP	America/Costa_Rica	Punta Islita
PBQ	America/Porto_Velho	Pimenta Bueno
PBS	Asia/Bangkok	Patong Beach
PBT	America/Asuncion	Puerto Leda
PBW	Asia/Makassar	Palibelo
PCG	America/Guatemala	Paso Caballos
PCH	America/Tegucigalpa	Palacios
PAX	America/Port-au-Prince	Port De Paix
PCU	America/Chicago	Pearl River County
PCV	America/Mazatlan	Punta Chivato
PDD	Africa/Maputo	Ponta de Ouro
PDF	America/Bahia	Prado
PDA	America/Bogota	Puerto Inirida
PDK	America/New_York	DeKalb Peachtree Airport
PEM	America/Lima	Puerto Maldonado Airport
PDM	America/Panama	Pedasí Airport
PDP	America/Montevideo	Capitan de Corbeta Carlos A. Curbelo International Airport
PDS	America/Matamoros	Piedras Negras International Airport
PDV	Europe/Sofia	Plovdiv Airport
PEE	Asia/Yekaterinburg	Perm International Airport
PEF	Europe/Berlin	Peenemuende
PEG	Europe/Rome	Sant Egidio Airport
PEJ	Europe/Rome	Peschiei
PDC	Pacific/Noumea	Mueo
PFC	America/Los_Angeles	Pacific City State
PFN	America/Chicago	Bay County
PGO	America/Denver	Stevens Field
PGR	America/Chicago	Paragould Kirk Field
PHD	America/New_York	Harry Clever Field
PGA	America/Phoenix	Page Airport
PGC	America/New_York	Grant County
PGD	America/New_York	Charlotte County Airport
PGF	Europe/Paris	Llabanere Airport
PGG	America/Santarem	Progresso
PHK	America/New_York	Palm Beach Co Glades
PGL	America/Chicago	Jackson County
PIK	Europe/London	Glasgow Prestwick Airport
PIT	America/New_York	Pittsburgh International Airport
PHU	Asia/Ho_Chi_Minh	Phu Vinh
PJG	Asia/Karachi	Panjgur
PHZ	Asia/Bangkok	Phi Phi Island
PIF	Asia/Taipei	Pingtung
PIG	America/Boa_Vista	Pitinga
PIL	America/Asuncion	Pilar
PIM	America/New_York	Garden Harris County
PIO	America/Lima	Capitan FAP Renan Elias Olivera Airport
PIS	Europe/Paris	Poitiers-Biard Airport
PIU	America/Lima	Cap. FAP Guillermo Concha Iberico International Airport
PIV	America/Sao_Paulo	Pirapora
PJA	Europe/Stockholm	Pajala Airport
PKJ	America/Guatemala	Playa Grande
PKK	Asia/Rangoon	Pakokku
PKN	Asia/Pontianak	Iskandar Airport
PKO	Africa/Porto-Novo	Parakou
PKR	Asia/Kathmandu	Pokhara Airport
PKS	Asia/Vientiane	Paksane
PKV	Europe/Moscow	Pskov Airport
PKW	Africa/Gaborone	Selebi-Phikwe
